,city,position,company_name,company_size,company_type,salary,education,ability,experience
80,成都,数据分析助理,成都霖翰丰恒信息技术咨询有限公司,20-99人,民营,5千-1万,大专,风险控制 数据分析 ,1-3年
81,成都-武侯区,数据分析【季度涨薪+年底13薪】,人瑞人力资源服务,500-999人,民营,6千-8千,中专/中技,数据采集 ,不限
82,成都-青白江区,数据实习生,北京万脉天和管理咨询有限公司,300-499人,股份制企业,4千-6千,学历不限,Python 数据清洗 数据分析 ,不限
83,成都,数据分析助理,成都鸿鹄万沐信息技术服务有限公司,300-499人,民营,6千-8千,大专,数据分析 行业分析 需求分析 ,1年以下
84,成都-高新区,数据分析文员,人瑞人力资源服务济南分公司,1000-9999人,民营,6千-8千,本科,数据建模 爬虫 数据集市 ,无经验
85,成都,高薪急聘数据处理,成都六玥海棠网络科技有限公司,20-99人,其它,4千-6千,大专,数据分析 ,1-3年
86,成都-金牛区,数据分析员,人瑞人力资源服务,500-999人,民营,4千-6千,大专,数据分析 ,不限
87,成都,数据分析,成都传程科技有限公司,20-99人,民营,4千-6千,大专,数据分析 ,不限
88,成都-高新区,数据分析工程师,帝欧家居股份有限公司,1000-9999人,上市公司,8千-1.5万,本科,数据分析 数据清洗 SQL 大数据分析 数据仓库 数据建模 ,3-5年
89,成都-武侯区,数据分析专员 双休,人瑞人力资源服务济南分公司,1000-9999人,民营,6千-8千,本科,数据仓库 决策树 ,无经验
90,成都-双流区,数据分析助理,深圳市金之谷电子有限公司,20-99人,民营,4千-6千,大专,数据分析 SQL SPSS ETL 数据建模 机器学习 ,1-3年
91,成都-锦江区,数据分析文员（双休+五险一金+带薪年假）,人瑞人力资源服务,500-999人,民营,4千-6千,大专,数据分析 ,不限
92,成都-双流区,数据分析专员（人力资源方向）,通威集团,10000人以上,民营,6千-8千,本科,人才盘点 人才发展 人才测评 胜任力模型建设 ,1-3年
93,成都,数据分析实习生,清华四川能源互联网研究院,100-299人,事业单位,2千-3千,本科,数据挖掘 Python 需求分析 数据建模 ,无经验
94,成都-武侯区,数据分析专员,人瑞人力资源服务济南分公司,1000-9999人,民营,6千-8千,本科,数据分析 大数据平台 数据监控 ,无经验
95,成都,信息管理员（数据处理）,麦可思数据科技(成都)有限公司,100-299人,民营,5千-7千,本科,数据清洗 SQL ,无经验
96,成都-金牛区,数据分析员,人瑞人力资源服务,500-999人,民营,4千-6千,大专,数据分析 ,不限
97,成都-高新区,数据分析文员（双休）,苏州人瑞永道人力资源服务有限公司,不限,不限,6千-8千,本科,数据分析 需求分析 行业分析 ,不限
98,成都-金牛区,数据支持工程师,四川鱼鳞图信息技术股份有限公司,500-999人,民营,3.5千-5千,本科,数据分析 数据挖掘 数据采集 大数据分析 ,不限
99,成都-武侯区,数据分析,四川京邦达物流科技有限公司,10000人以上,民营,7千-1.4万,本科,数据分析 SPSS SQL 需求分析 数据监控 ,3-5年
100,成都-成华区,数据分析员,成都泰便利电子商务有限公司,1000-9999人,民营,5千-8千,本科,成本分析 经营分析 ,3-5年
101,成都-青羊区,数据分析文员（双休+五险一金+带薪年假）,人瑞人力资源服务,500-999人,民营,4千-6千,大专,数据分析 ,不限
